,total_unique_sites,conversion_rate,total_sessions,avg_time_to_action,unique_sites_fraction
user_253,252.0,1.0,3.0,94.66666666666667,0.5874125874125874
user_254,36.0,0.0,2.0,,0.6206896551724138
user_256,193.0,1.0,3.0,160.33333333333334,0.4584323040380047
user_262,323.0,0.2727272727272727,11.0,60.666666666666664,0.30357142857142855
user_264,235.0,0.8,5.0,80.75,0.4319852941176471
user_265,195.0,0.0,1.0,,1.0
user_267,261.0,0.6666666666666666,6.0,116.5,0.332484076433121
user_269,68.0,1.0,1.0,80.0,1.0
user_271,147.0,1.0,2.0,80.0,0.735
user_277,325.0,0.5555555555555556,27.0,128.4,0.16769865841073273
user_283,190.0,0.8461538461538461,13.0,103.36363636363636,0.1082004555808656
user_288,221.0,0.5,6.0,116.66666666666667,0.29155672823219
user_295,157.0,0.8,5.0,41.25,0.40568475452196384
user_299,118.0,0.5,2.0,26.0,0.5315315315315315
user_304,252.0,0.4,5.0,56.0,0.5874125874125874
user_311,102.0,1.0,1.0,83.0,1.0
user_316,375.0,0.8571428571428571,7.0,69.66666666666667,0.4089422028353326
user_317,185.0,1.0,2.0,33.5,0.8447488584474886
user_324,253.0,0.5833333333333334,12.0,58.57142857142857,0.27710843373493976
user_327,70.0,1.0,1.0,154.0,1.0
user_330,173.0,0.0,1.0,,1.0
user_335,116.0,1.0,1.0,49.0,1.0
user_341,251.0,1.0,9.0,91.33333333333333,0.28170594837261503
user_343,220.0,0.375,8.0,243.0,0.3935599284436494
user_344,93.0,0.0,2.0,,0.6940298507462687
user_346,153.0,0.8,5.0,100.25,0.5406360424028268
user_347,123.0,1.0,2.0,144.0,0.9044117647058824
user_351,115.0,0.0,1.0,,1.0
user_352,116.0,1.0,1.0,84.0,1.0
user_358,141.0,1.0,1.0,235.0,1.0
user_362,96.0,0.3333333333333333,3.0,59.0,0.4507042253521127
user_365,270.0,0.0,25.0,,0.1505016722408027
user_369,313.0,0.3333333333333333,48.0,119.3125,0.07908034360788277
user_373,213.0,0.42857142857142855,7.0,63.0,0.43737166324435317
user_374,318.0,0.2,10.0,96.0,0.2713310580204778
user_378,109.0,0.5,2.0,63.0,0.7171052631578947
user_382,202.0,0.2857142857142857,7.0,71.0,0.346483704974271
user_383,25.0,1.0,1.0,288.0,1.0
user_387,153.0,0.0,2.0,,0.6219512195121951
user_390,250.0,0.4,10.0,55.75,0.22182786157941436
user_391,225.0,0.4,5.0,29.0,0.46296296296296297
user_397,247.0,0.3333333333333333,6.0,86.5,0.4318181818181818
user_398,9.0,1.0,1.0,100.0,1.0
user_401,264.0,0.5,8.0,37.25,0.3235294117647059
user_407,91.0,0.16666666666666666,6.0,87.0,0.37916666666666665
user_410,171.0,0.4,5.0,84.5,0.48717948717948717
user_413,253.0,0.2,15.0,102.33333333333333,0.3844984802431611
user_417,85.0,1.0,1.0,48.0,1.0
user_419,127.0,1.0,3.0,51.0,0.3489010989010989
user_421,106.0,0.25,4.0,27.0,0.7114093959731543
user_422,195.0,0.0,2.0,,0.9198113207547169
user_426,174.0,0.5,2.0,8.0,0.6718146718146718
user_430,82.0,0.0,2.0,,0.9425287356321839
user_431,148.0,0.5,2.0,109.0,0.9135802469135802
user_433,175.0,0.0,1.0,,1.0
user_437,178.0,1.0,1.0,15.0,1.0
user_439,112.0,0.6,5.0,125.66666666666667,0.35668789808917195
user_444,131.0,1.0,1.0,105.0,1.0
user_445,182.0,0.5555555555555556,9.0,51.4,0.2852664576802508
user_446,128.0,0.5,2.0,202.0,0.9142857142857143
user_451,69.0,0.0,1.0,,1.0
user_452,214.0,0.75,4.0,106.33333333333333,0.5431472081218274
user_453,159.0,1.0,3.0,257.6666666666667,0.6943231441048034
user_454,239.0,0.42857142857142855,7.0,89.66666666666667,0.31241830065359477
user_455,49.0,0.0,1.0,,1.0
user_456,125.0,0.0,7.0,,0.4528985507246377
user_465,104.0,0.5,2.0,129.0,0.8188976377952756
user_467,87.0,0.6666666666666666,3.0,96.0,0.42857142857142855
user_470,197.0,1.0,2.0,79.0,0.8995433789954338
user_473,119.0,0.0,2.0,,0.9015151515151515
user_475,202.0,0.42857142857142855,7.0,70.0,0.38330170777988615
user_480,207.0,0.0,4.0,,0.5549597855227882
user_484,239.0,0.6666666666666666,6.0,57.75,0.35993975903614456
user_489,107.0,0.8,5.0,119.5,0.36769759450171824
user_492,141.0,0.6,5.0,203.66666666666666,0.41839762611275966
user_493,78.0,0.5,2.0,51.0,0.5735294117647058
user_498,39.0,0.0,1.0,,1.0
user_500,144.0,1.0,1.0,59.0,1.0
user_501,97.0,0.0,1.0,,1.0
user_502,86.0,1.0,1.0,91.0,1.0
user_509,234.0,0.3333333333333333,6.0,42.0,0.52
user_512,234.0,0.5,6.0,43.666666666666664,0.3762057877813505
user_514,242.0,0.6363636363636364,11.0,99.0,0.23818897637795275
user_516,124.0,1.0,1.0,112.0,1.0
user_518,132.0,0.0,1.0,,1.0
user_522,91.0,0.0,1.0,,1.0
user_523,260.0,0.5555555555555556,9.0,58.8,0.4107424960505529
user_524,170.0,0.75,4.0,48.333333333333336,0.6137184115523465
user_525,156.0,0.0,3.0,,0.41160949868073876
user_526,57.0,1.0,1.0,82.0,1.0
user_531,92.0,1.0,2.0,381.5,0.5508982035928144
user_534,128.0,0.0,1.0,,1.0
user_535,217.0,0.8571428571428571,7.0,65.66666666666667,0.3610648918469218
user_537,263.0,0.5555555555555556,9.0,60.0,0.28008519701810436
user_541,287.0,0.7142857142857143,7.0,52.6,0.46742671009771986
user_542,159.0,0.6666666666666666,9.0,197.16666666666666,0.21143617021276595
user_544,124.0,0.6666666666666666,3.0,62.0,0.7085714285714285
user_545,80.0,0.5,2.0,334.0,0.6299212598425197
user_548,44.0,0.0,1.0,,1.0
user_554,216.0,0.5,4.0,66.5,0.4145873320537428
user_555,131.0,1.0,1.0,88.0,1.0
user_558,197.0,0.5,2.0,151.0,0.8640350877192983
user_560,94.0,0.42857142857142855,7.0,176.66666666666666,0.2756598240469208
user_561,79.0,1.0,2.0,50.5,0.9294117647058824
user_563,283.0,0.75,4.0,96.66666666666667,0.6247240618101545
user_564,239.0,0.25,4.0,93.0,0.4552380952380952
user_565,212.0,0.5833333333333334,12.0,110.57142857142857,0.21810699588477367
user_569,306.0,1.0,2.0,58.0,0.5008183306055647
user_570,134.0,0.6,5.0,86.66666666666667,0.4962962962962963
user_573,141.0,0.5,4.0,683.5,0.47796610169491527
user_574,365.0,0.375,16.0,259.5,0.2532963219986121
user_580,195.0,0.4,5.0,246.5,0.5603448275862069
user_581,165.0,0.5714285714285714,7.0,94.25,0.41044776119402987
user_582,103.0,0.2,5.0,90.0,0.6821192052980133
user_583,63.0,1.0,1.0,181.0,1.0
user_584,94.0,1.0,1.0,152.0,1.0
user_585,243.0,0.3076923076923077,13.0,82.25,0.28859857482185275
user_586,141.0,0.75,4.0,1589.0,0.5850622406639004
user_588,213.0,0.75,4.0,289.6666666666667,0.6870967741935484
user_589,54.0,1.0,1.0,43.0,1.0
user_592,198.0,0.75,4.0,54.333333333333336,0.5454545454545454
user_597,288.0,0.9310344827586207,29.0,-134012.85185185185,0.11626968106580542
user_601,62.0,1.0,1.0,93.0,1.0
user_602,250.0,0.9,10.0,66.11111111111111,0.33467202141900937
user_603,145.0,0.6666666666666666,3.0,95.0,0.7038834951456311
user_604,185.0,0.3333333333333333,3.0,206.0,0.7429718875502008
user_607,218.0,0.0,5.0,,0.25526932084309134
user_608,276.0,0.7142857142857143,7.0,83.6,0.4816753926701571
user_610,225.0,0.25,4.0,10.0,0.6232686980609419
user_611,265.0,0.5714285714285714,7.0,79.5,0.3125
user_616,170.0,0.0,1.0,,1.0
user_621,132.0,1.0,4.0,54.75,0.36464088397790057
user_622,91.0,0.0,1.0,,1.0
user_623,57.0,0.0,1.0,,1.0
user_624,116.0,0.0,1.0,,1.0
user_625,308.0,0.8235294117647058,17.0,84.78571428571429,0.19106699751861042
user_626,250.0,1.0,2.0,145.0,0.628140703517588
user_627,110.0,0.5,2.0,281.0,0.6707317073170732
user_630,108.0,1.0,1.0,37.0,1.0
user_633,203.0,1.0,3.0,226.0,0.6506410256410257
user_634,180.0,0.0,4.0,,0.3415559772296015
user_636,177.0,1.0,1.0,113.0,1.0
user_637,134.0,0.0,1.0,,1.0
user_638,170.0,1.0,1.0,207.0,1.0
user_640,111.0,1.0,2.0,134.0,0.5751295336787565
user_642,245.0,0.3333333333333333,3.0,7.0,0.7903225806451613
user_643,165.0,0.8,5.0,335.0,0.35181236673773986
user_646,147.0,1.0,1.0,106.0,1.0
user_647,70.0,1.0,1.0,268.0,1.0
user_648,80.0,1.0,1.0,177.0,1.0
user_652,74.0,1.0,2.0,30.0,0.6016260162601627
user_654,166.0,1.0,1.0,188.0,1.0
user_655,54.0,1.0,1.0,108.0,1.0
user_659,121.0,1.0,2.0,94.0,0.952755905511811
user_661,53.0,1.0,1.0,27.0,1.0
user_663,282.0,0.4090909090909091,22.0,82.88888888888889,0.19678995115143055
user_664,212.0,0.25,4.0,-121.0,0.48847926267281105
user_665,242.0,0.6666666666666666,3.0,128.5,0.7934426229508197
user_666,403.0,0.5,10.0,255.2,0.36208445642407905
user_668,81.0,1.0,2.0,86.0,0.6639344262295082
user_673,163.0,1.0,1.0,254.0,1.0
user_675,167.0,0.6,5.0,73.33333333333333,0.40632603406326034
user_676,130.0,1.0,1.0,157.0,1.0
user_677,137.0,0.0,1.0,,1.0
user_686,99.0,0.0,1.0,,1.0
user_696,307.0,0.3333333333333333,9.0,69.66666666666667,0.3351528384279476
user_699,91.0,0.5,2.0,26.0,0.6363636363636364
user_703,56.0,0.5,2.0,51.0,0.5185185185185185
user_704,122.0,1.0,1.0,82.0,1.0
user_714,215.0,0.0,4.0,,0.4574468085106383
user_715,296.0,0.8,15.0,466.8333333333333,0.2589676290463692
user_721,220.0,0.5,8.0,175.25,0.36065573770491804
user_724,181.0,0.2,5.0,134.0,0.5764331210191083
user_726,323.0,0.17073170731707318,41.0,50.0,0.08947368421052632
user_729,320.0,0.8571428571428571,14.0,94.75,0.18369690011481057
user_733,181.0,1.0,2.0,77.5,0.6395759717314488
user_735,48.0,0.0,1.0,,1.0
user_736,254.0,0.5882352941176471,17.0,42.4,0.1646143875567077
user_744,162.0,1.0,1.0,278.0,1.0
user_745,36.0,1.0,1.0,129.0,1.0
user_746,272.0,0.6666666666666666,3.0,105.0,0.7861271676300579
user_750,171.0,0.6428571428571429,14.0,89.88888888888889,0.20284697508896798
user_751,222.0,0.6,5.0,87.66666666666667,0.5401459854014599
user_753,176.0,0.0,1.0,,1.0
user_754,77.0,1.0,1.0,46.0,1.0
user_755,202.0,0.0,2.0,,0.5444743935309974
user_760,59.0,0.0,1.0,,1.0
user_761,200.0,0.6,5.0,64.0,0.49382716049382713
user_765,279.0,0.5,8.0,97.5,0.36807387862796836
user_767,419.0,0.45588235294117646,68.0,52.354838709677416,0.05388374485596708
user_769,125.0,0.75,4.0,115.33333333333333,0.5924170616113744
user_772,206.0,0.4444444444444444,9.0,40.0,0.35701906412478335
user_774,69.0,0.5,2.0,101.0,0.6699029126213593
user_777,220.0,0.3333333333333333,6.0,160.0,0.47413793103448276
user_779,238.0,0.5,2.0,2.0,0.8717948717948718
user_781,266.0,0.7777777777777778,9.0,57.857142857142854,0.29854096520763185
user_783,176.0,0.0,3.0,,0.6567164179104478
user_785,207.0,0.8571428571428571,7.0,89.16666666666667,0.32598425196850395
user_788,20.0,1.0,1.0,62.0,1.0
user_789,184.0,0.6666666666666666,3.0,92.5,0.736
user_790,177.0,1.0,2.0,109.5,0.84688995215311
user_795,362.0,0.46153846153846156,39.0,316.6111111111111,0.09162237408251075
user_796,188.0,0.8,5.0,37.75,0.3715415019762846
user_797,65.0,0.6666666666666666,3.0,340.5,0.38011695906432746
user_798,155.0,0.5,4.0,62.5,0.48742138364779874
user_802,81.0,0.0,1.0,,1.0
user_803,46.0,1.0,1.0,58.0,1.0
user_804,250.0,0.7142857142857143,7.0,113.6,0.3255208333333333
user_808,64.0,1.0,1.0,87.0,1.0
user_811,221.0,0.0,2.0,,0.9246861924686193
user_812,249.0,0.4,5.0,97.5,0.5297872340425532
user_813,136.0,0.45454545454545453,11.0,129.0,0.3358024691358025
user_816,76.0,1.0,1.0,119.0,1.0
user_818,149.0,0.5357142857142857,28.0,149.4,0.12035541195476575
user_821,133.0,0.0,1.0,,1.0
user_824,325.0,0.5,8.0,177.75,0.3333333333333333
user_826,76.0,0.0,1.0,,1.0
user_827,108.0,0.0,1.0,,1.0
user_829,234.0,0.4444444444444444,9.0,56.0,0.3300423131170663
user_830,137.0,0.3333333333333333,6.0,74.0,0.40532544378698226
user_831,64.0,1.0,1.0,52.0,1.0
user_832,138.0,1.0,2.0,79.0,0.6831683168316832
user_833,122.0,0.3333333333333333,3.0,277.0,0.5674418604651162
user_834,68.0,1.0,1.0,120.0,1.0
user_836,238.0,0.18181818181818182,11.0,147.0,0.20913884007029876
user_837,204.0,0.3333333333333333,3.0,84.0,0.3805970149253731
user_840,109.0,0.6666666666666666,3.0,308.0,0.5956284153005464
user_841,207.0,0.75,4.0,252.33333333333334,0.49521531100478466
user_842,109.0,1.0,1.0,5.0,1.0
user_846,130.0,0.0,2.0,,0.5349794238683128
user_850,157.0,0.6666666666666666,3.0,33.5,0.6652542372881356
user_852,125.0,0.0,1.0,,1.0
user_853,198.0,0.75,4.0,207.33333333333334,0.32405891980360063
user_856,72.0,1.0,1.0,102.0,1.0
user_859,154.0,0.25,4.0,13.0,0.5767790262172284
user_860,213.0,0.3333333333333333,3.0,210.0,0.7006578947368421
user_863,99.0,0.0,1.0,,1.0
user_868,145.0,1.0,3.0,69.0,0.5311355311355311
user_871,206.0,0.3333333333333333,3.0,190.0,0.5953757225433526
user_873,332.0,1.0,11.0,90.36363636363636,0.3161904761904762
user_877,57.0,0.5,2.0,14.0,0.6627906976744186
user_879,115.0,0.0,7.0,,0.2882205513784461
user_880,98.0,1.0,1.0,88.0,1.0
user_883,150.0,0.5,2.0,32.0,0.6607929515418502
user_888,161.0,1.0,2.0,120.0,0.6052631578947368
user_890,149.0,0.6666666666666666,3.0,181.5,0.6032388663967612
user_893,157.0,0.5,2.0,49.0,0.6796536796536796
user_894,13.0,0.0,1.0,,1.0
user_895,210.0,1.0,3.0,128.33333333333334,0.3736654804270463
user_897,236.0,0.36363636363636365,11.0,87.0,0.3268698060941828
user_902,320.0,0.6153846153846154,13.0,87.125,0.2570281124497992
user_904,68.0,0.16666666666666666,6.0,21.0,0.265625
user_906,214.0,0.3333333333333333,3.0,61.0,0.6028169014084507
user_908,128.0,1.0,2.0,140.5,0.5289256198347108
user_910,292.0,0.5,10.0,417.0,0.32808988764044944
user_913,220.0,0.5,2.0,67.0,0.7586206896551724
user_915,301.0,0.5,8.0,569.75,0.3955321944809461
user_916,62.0,0.0,1.0,,1.0
user_917,74.0,0.5,2.0,32.0,0.6981132075471698
user_918,87.0,0.4,5.0,87.0,0.35802469135802467
user_925,133.0,1.0,1.0,56.0,1.0
user_926,291.0,0.2,15.0,81.0,0.19271523178807948
user_927,384.0,0.43478260869565216,46.0,104.95,0.08942710759198882
user_928,126.0,0.0,1.0,,1.0
user_929,193.0,0.0,1.0,,1.0
user_937,124.0,0.5,4.0,52.5,0.5254237288135594
user_941,225.0,0.0,2.0,,0.8587786259541985
user_942,152.0,0.6666666666666666,6.0,94.5,0.36803874092009686
user_944,165.0,0.75,4.0,44.666666666666664,0.3416149068322981
user_945,63.0,0.0,1.0,,1.0
user_946,218.0,0.2857142857142857,7.0,100.5,0.3303030303030303
user_949,191.0,0.25,4.0,13.0,0.35239852398523985
user_952,212.0,0.625,8.0,191.0,0.3216995447647951
user_956,65.0,0.0,1.0,,1.0
user_958,178.0,0.6666666666666666,3.0,36.0,0.3982102908277405
user_962,89.0,1.0,1.0,111.0,1.0
user_963,120.0,0.3333333333333333,3.0,111.0,0.5504587155963303
user_965,154.0,0.0,1.0,,1.0
user_966,190.0,0.6666666666666666,3.0,77.5,0.6529209621993127
user_968,130.0,0.3333333333333333,3.0,43.0,0.5058365758754864
user_971,228.0,1.0,5.0,56.6,0.6846846846846847
user_972,173.0,0.6666666666666666,3.0,98.0,0.5339506172839507
user_973,291.0,0.59375,32.0,76.21052631578948,0.1474164133738602
user_975,196.0,0.4,5.0,108.0,0.5185185185185185
user_977,139.0,0.8,5.0,64.5,0.43167701863354035
user_978,175.0,1.0,3.0,81.66666666666667,0.7446808510638298
user_980,50.0,0.0,1.0,,1.0
user_986,33.0,0.0,3.0,,0.5892857142857143
user_987,158.0,0.0,1.0,,1.0
user_989,197.0,0.5,2.0,70.0,0.5157068062827225
user_990,43.0,0.0,1.0,,1.0
user_991,57.0,1.0,1.0,35.0,1.0
user_993,146.0,1.0,1.0,100.0,1.0
user_998,212.0,0.5,2.0,120.0,0.762589928057554
user_999,187.0,0.0,3.0,,0.5436046511627907
user_1000,245.0,0.16666666666666666,6.0,65.0,0.5125523012552301
user_1001,174.0,0.6923076923076923,13.0,57.0,0.3020833333333333
user_1004,263.0,0.25,4.0,110.0,0.6641414141414141
user_1006,127.0,1.0,1.0,9.0,1.0
user_1008,32.0,0.0,1.0,,1.0
user_1010,188.0,0.8333333333333334,6.0,119.4,0.4413145539906103
user_1011,252.0,0.375,8.0,105.0,0.2748091603053435
user_1012,69.0,0.0,1.0,,1.0
user_1013,168.0,0.0,1.0,,1.0
user_1014,385.0,0.5405405405405406,74.0,68.15,0.06533174953334464
user_1016,231.0,0.75,4.0,69.33333333333333,0.5647921760391198
user_1018,164.0,0.4444444444444444,9.0,183.25,0.29818181818181816
user_1021,187.0,0.75,4.0,61.0,0.5683890577507599
user_1024,99.0,0.0,1.0,,1.0
user_1025,176.0,0.5,6.0,142.66666666666666,0.3137254901960784
user_1026,236.0,0.7142857142857143,7.0,106.0,0.4090121317157712
user_1028,53.0,0.0,1.0,,1.0
user_1031,154.0,0.5,6.0,59.333333333333336,0.23053892215568864
user_1036,148.0,0.0,2.0,,0.8705882352941177
user_1037,103.0,0.0,1.0,,1.0
user_1038,272.0,1.0,4.0,79.0,0.5738396624472574
user_1046,53.0,1.0,1.0,6.0,1.0
user_1047,216.0,0.3333333333333333,3.0,118.0,0.6708074534161491
user_1050,118.0,0.75,4.0,94.66666666666667,0.4627450980392157
user_1055,72.0,1.0,1.0,202.0,1.0
user_1057,250.0,0.16666666666666666,6.0,48.0,0.4488330341113106
user_1059,58.0,0.0,1.0,,1.0
user_1060,44.0,0.0,1.0,,1.0
user_1061,64.0,1.0,1.0,184.0,1.0
user_1062,54.0,0.0,2.0,,0.6428571428571429
user_1064,128.0,1.0,1.0,148.0,1.0
user_1065,307.0,0.26666666666666666,15.0,131.25,0.2456
user_1068,214.0,0.0,3.0,,0.7955390334572491
user_1071,70.0,0.0,1.0,,1.0
user_1072,111.0,1.0,1.0,104.0,1.0
user_1073,148.0,0.75,4.0,300.6666666666667,0.31965442764578833
user_1074,95.0,1.0,1.0,-86.0,1.0
user_1076,205.0,0.75,4.0,134.33333333333334,0.5994152046783626
user_1079,180.0,1.0,1.0,122.0,1.0
user_1081,163.0,0.0,1.0,,1.0
user_1083,277.0,0.6190476190476191,21.0,1516.076923076923,0.22124600638977635
user_1084,367.0,0.8571428571428571,21.0,132.55555555555554,0.15323590814196242
user_1086,66.0,0.0,2.0,,0.5689655172413793
user_1087,159.0,1.0,3.0,66.33333333333333,0.48328267477203646
user_1088,75.0,0.0,1.0,,1.0
user_1091,168.0,1.0,2.0,48.0,0.8155339805825242
user_1092,148.0,1.0,1.0,7.0,1.0
user_1097,61.0,1.0,1.0,103.0,1.0
user_1098,131.0,0.25,4.0,87.0,0.4185303514376997
user_1099,248.0,0.42857142857142855,7.0,76.0,0.3054187192118227
user_1103,61.0,0.0,3.0,,0.4236111111111111
user_1105,195.0,0.25,4.0,97.0,0.5078125
user_1107,213.0,0.6363636363636364,11.0,41.857142857142854,0.32272727272727275
user_1108,239.0,0.4,5.0,151.5,0.3561847988077496
user_1109,147.0,0.5,2.0,378.0,0.5121951219512195
user_1111,229.0,0.6666666666666666,3.0,51.5,0.5963541666666666
user_1112,176.0,1.0,2.0,73.0,0.8380952380952381
user_1113,214.0,0.5,4.0,113.5,0.596100278551532
user_1114,124.0,1.0,3.0,134.66666666666666,0.5511111111111111
user_1115,136.0,1.0,1.0,106.0,1.0
user_1121,121.0,0.0,1.0,,1.0
user_1122,217.0,0.6,5.0,54.0,0.4696969696969697
user_1123,216.0,0.5,6.0,137.0,0.3606010016694491
user_1124,200.0,0.3333333333333333,3.0,116.0,0.5420054200542005
user_1125,163.0,1.0,3.0,128.33333333333334,0.4604519774011299
user_1126,52.0,1.0,1.0,184.0,1.0
user_1127,191.0,1.0,1.0,17.0,1.0
user_1128,109.0,1.0,1.0,195.0,1.0
user_1130,69.0,0.0,1.0,,1.0
user_1132,185.0,0.3333333333333333,6.0,193.0,0.4157303370786517
user_1136,222.0,0.6,10.0,70.16666666666667,0.28793774319066145
user_1137,186.0,1.0,1.0,54.0,1.0
user_1139,312.0,0.6,15.0,83.0,0.2101010101010101
user_1141,253.0,0.2857142857142857,7.0,139.0,0.292485549132948
user_1142,221.0,0.8571428571428571,7.0,138.0,0.4018181818181818
user_1147,235.0,0.3333333333333333,6.0,30.0,0.34711964549483015
user_1153,162.0,0.0,2.0,,0.9
user_1155,185.0,1.0,1.0,35.0,1.0
user_1157,175.0,0.25,4.0,91.0,0.5932203389830508
user_1168,362.0,0.6470588235294118,51.0,669.030303030303,0.06453913353538955
user_1169,165.0,0.5,2.0,257.0,0.7268722466960352
user_1172,103.0,0.0,3.0,,0.7054794520547946
user_1175,122.0,1.0,1.0,141.0,1.0
user_1176,259.0,0.5,8.0,53.0,0.2773019271948608
user_1179,92.0,0.5,2.0,100.0,0.6715328467153284
user_1180,68.0,1.0,1.0,79.0,1.0
user_1181,63.0,0.0,1.0,,1.0
user_1182,96.0,0.5,2.0,24.0,0.7619047619047619
user_1188,173.0,1.0,2.0,33.5,0.5323076923076923
user_1190,180.0,1.0,3.0,111.66666666666667,0.5389221556886228
user_1192,131.0,0.3333333333333333,3.0,57.0,0.5057915057915058
